header
14
25
16
17
21
23
26
25
15
26
13
22
31
15
19
14
15
25
12
15
23
21
13
38
21
12
32
14
21
10
15
16
14
42
10
15
28
24
23
23
19
23
18
17
17
30
23
16
21
22
22
19
20
41
21
17
11
23
21
36
22
20
7
15
16
15
23
14
13
14
15
21
15
12
15
27
14
13
20
12
21
33
18
18
9
21
18
10
13
15
23
21
17
16
39
34
15
18
12
17
23
13
22
22
22
22
16
17
21
23
17
14
24
16
17
16
21
13
15
17
26
21
17
1
30
41
14
36
27
18
24
13
18
16
17
24
14
21
25
21
18
22
18
16
25
25
16
25
16
15
20
23
15
20
8
17
11
17
16
17
20
21
16
32
28
34
16
27
16
21
21
28
15
9
17
16
15
23
25
12
18
18
13
21
24
13
21
15
16
15
26
12
11
24
24
13
13
12
21
16
12
16
16
12
14
24
17
13
10
14
19
22
23
33
13
13
23
7
19
22
11
18
21
21
14
17
21
22
23
28
17
20
2
16
14
23
20
14
14
25
13
22
14
38
18
16
19
20
21
22
23
22
21
17
20
21
15
19
21
34
