UTemporal,estacion0,estacion1,estacion2,estacion3,estacion4,estacion5,estacion6,estacion7,estacion8,estacion9,estacion10,estacion11,estacion12,estacion13,estacion14,estacion15,estacion16,estacion17,estacion18,estacion19,estacion20,estacion21,estacion22,estacion23,estacion24,estacion25,estacion26,estacion27,estacion28,estacion29,estacion30,estacion31,estacion32,estacion33,estacion34,estacion35,estacion36,estacion37,estacion38,estacion39,estacion40,estacion41,estacion42,estacion43,estacion44,estacion45,estacion46,estacion47,estacion48,estacion49,estacion50,estacion51,estacion52,estacion53,estacion54,estacion55,estacion56,estacion57,estacion58,estacion59,estacion60,estacion61,estacion62,estacion63,estacion64,estacion65,estacion66,estacion67,estacion68,estacion69,estacion70,estacion71,estacion72,estacion73,estacion74,estacion75,estacion76,estacion77,estacion78,estacion79,estacion80,estacion81,estacion82,estacion83,estacion84,estacion85,estacion86,estacion87,estacion88,estacion89,estacion90,estacion91,estacion92,estacion93,estacion94,estacion95,estacion96,estacion97,estacion98,estacion99,estacion100,estacion101,estacion102,estacion103,estacion104,estacion105,estacion106,estacion107,estacion108,estacion109,estacion110,estacion111,estacion112,estacion113,estacion114,estacion115,estacion116,estacion117,estacion118,estacion119,estacion120,estacion121,estacion122,estacion123,estacion124,estacion125,estacion126,estacion127,estacion128,estacion129,estacion130,estacion131,estacion132,estacion133,estacion134,estacion135,estacion136,estacion137,estacion138,estacion139,estacion140,estacion141,estacion142,estacion143,estacion144,estacion145,estacion146,estacion147,estacion148,estacion149,estacion150,estacion151,estacion152,estacion153,estacion154,estacion155,estacion156,estacion157,estacion158,estacion159,estacion160,estacion161,estacion162,estacion163,estacion164,estacion165,estacion166,estacion167,estacion168,estacion169,estacion170,estacion171,estacion172,estacion173,estacion174,estacion175,estacion176,estacion177,estacion178,estacion179,estacion180,estacion181,estacion182,estacion183,estacion184,estacion185,estacion186,estacion187,estacion188,estacion189,estacion190,estacion191,estacion192,estacion193,estacion194,estacion195,estacion196,estacion197,estacion198,estacion199,estacion200,estacion201,estacion202,estacion203,estacion204,estacion205,estacion206,estacion207,estacion208,estacion209,estacion210,estacion211,estacion212,estacion213,estacion214,estacion215,estacion216,estacion217,estacion218,estacion219,estacion220,estacion221,estacion222,estacion223,estacion224,estacion225,estacion226,estacion227,estacion228,estacion229,estacion230,estacion231,estacion232,estacion233,estacion234,estacion235,estacion236,estacion237,estacion238,estacion239,estacion240,estacion241,estacion242,estacion243,estacion244,estacion245,estacion246,estacion247,estacion248,estacion249,estacion250,estacion251,estacion252,estacion253,estacion254,estacion255,estacion256,estacion257,estacion258,estacion259
10,34,14,72,38,77,28,50,0,39,4,8,22,58,20,44,13,28,7,5,23,19,25,22,16,37,18,84,52,41,7,31,28,29,44,10,17,53,37,48,30,78,51,25,59,30,15,36,41,36,51,50,67,39,46,25,41,15,62,41,71,30,26,8,34,84,8,1,49,13,1,5,34,34,5,57,85,19,16,29,21,14,45,63,50,57,29,48,6,19,56,28,48,21,11,78,34,15,63,29,17,48,15,60,76,51,61,55,19,48,38,25,12,45,25,15,46,39,7,22,10,61,33,41,1,23,58,38,44,29,37,53,54,56,23,10,21,24,60,47,7,69,74,22,35,43,48,52,7,44,5,14,58,45,20,18,46,15,35,49,41,50,81,72,76,18,40,63,37,47,22,33,53,39,2,33,50,29,38,45,30,29,34,23,39,17,23,50,32,64,51,42,8,3,36,60,1,42,31,47,26,22,19,48,3,11,60,32,36,30,28,10,28,4,48,25,4,37,9,41,45,25,26,40,61,32,39,65,32,51,26,32,65,5,52,12,40,86,46,5,25,49,32,40,25,29,43,44,37,33,45,55,53,33,31,42,52,26,30,46,12
11,33,25,67,32,62,20,48,0,31,10,6,31,45,22,36,15,40,3,5,18,14,42,34,18,11,12,53,38,38,9,39,34,39,32,11,16,65,36,51,26,55,56,22,56,35,31,36,35,30,41,61,59,28,50,19,24,23,57,47,66,40,27,4,51,50,7,0,54,26,0,10,39,20,5,55,65,14,6,37,14,13,55,59,52,61,27,52,6,20,52,36,57,27,25,83,45,16,51,38,16,54,16,63,64,37,45,43,18,46,25,24,11,57,15,8,44,37,0,16,9,84,9,35,0,16,46,31,21,21,40,38,49,44,25,11,29,18,42,23,3,61,58,11,26,31,45,34,2,25,3,20,51,42,21,15,50,15,25,55,43,35,59,48,69,39,49,49,35,35,11,33,32,34,4,33,42,34,39,62,23,32,31,28,76,17,24,39,35,64,38,42,7,3,45,57,6,33,23,54,31,27,6,45,3,10,29,45,40,22,25,7,20,4,41,19,8,45,2,42,34,25,36,49,48,56,33,47,33,39,15,40,60,9,44,3,58,59,33,6,34,37,55,35,18,37,40,31,27,24,42,49,53,40,27,23,56,26,20,31,15
12,31,14,47,25,53,19,45,0,28,3,1,13,40,11,39,11,23,1,6,18,5,34,23,28,0,16,65,34,25,6,31,24,20,25,8,22,56,28,37,17,51,47,24,31,28,29,22,37,26,40,42,32,33,42,17,19,7,34,28,35,25,38,5,20,49,3,0,39,18,0,0,35,10,0,32,66,17,0,37,7,20,57,47,32,51,21,47,4,11,56,20,67,16,15,73,25,10,42,20,12,29,7,71,94,35,37,35,29,27,25,25,10,46,19,17,40,37,5,23,0,71,0,29,0,25,24,26,4,28,23,35,43,32,26,24,39,12,30,11,0,41,35,18,34,19,49,28,2,0,5,14,49,33,15,7,37,12,28,36,26,14,35,33,51,31,36,42,19,27,18,24,37,30,4,39,35,44,23,54,27,25,32,13,46,8,18,28,24,52,29,26,12,5,22,39,10,24,38,35,16,21,1,38,2,6,19,32,30,30,27,20,20,0,42,13,2,22,0,51,33,21,19,31,26,45,31,29,18,25,20,19,52,9,35,6,37,67,24,3,19,36,35,20,21,36,25,0,26,27,43,38,39,29,25,15,45,16,13,47,9
13,29,6,57,30,55,11,36,0,33,4,2,20,26,12,35,9,22,0,3,7,13,16,16,21,19,6,80,24,32,2,14,29,21,35,7,6,72,15,26,21,36,43,14,31,19,21,17,53,39,33,30,34,24,33,22,12,16,48,26,42,29,32,3,23,47,7,1,38,16,2,0,25,23,3,45,95,6,0,23,5,10,46,39,32,49,4,58,2,5,55,23,52,22,9,71,26,9,42,22,12,51,3,49,48,28,55,26,19,23,20,16,5,49,12,10,44,25,6,11,6,52,15,30,0,21,41,27,27,14,28,30,40,39,12,6,25,9,32,16,0,37,50,22,20,26,48,22,3,0,16,6,42,40,5,15,31,13,18,27,29,26,31,36,55,20,39,33,32,16,12,24,23,20,7,14,29,38,12,34,25,19,21,20,47,11,15,38,26,42,32,9,5,2,28,24,2,16,14,35,13,28,13,33,3,16,34,24,22,17,21,14,17,1,33,14,1,20,4,38,29,23,24,44,22,49,20,5,15,28,16,23,47,4,41,8,32,54,23,5,11,38,29,18,18,40,49,7,18,22,23,31,37,32,17,24,39,16,21,38,3
14,35,28,65,32,78,10,64,1,49,5,1,38,53,16,42,10,40,3,11,25,34,34,34,21,55,5,103,55,50,16,50,28,31,5,8,12,62,45,57,30,73,53,25,62,35,27,27,44,45,39,66,84,32,50,29,33,12,56,63,58,31,27,7,32,66,4,2,54,29,0,3,26,22,9,63,74,17,1,31,15,24,72,68,36,54,18,59,12,25,56,28,51,23,27,84,64,25,54,29,16,52,7,56,53,41,48,46,26,41,27,28,13,38,26,23,52,51,6,32,10,52,22,43,0,23,81,34,68,24,26,54,61,71,25,10,36,16,49,35,2,57,66,24,19,32,48,34,6,0,4,20,59,42,23,13,44,17,31,48,53,41,56,57,57,33,46,59,36,36,20,46,49,54,5,29,44,58,28,52,41,24,46,32,44,16,16,35,41,62,53,44,9,2,38,66,3,32,20,49,23,21,21,46,0,27,42,32,54,33,32,24,26,2,46,25,4,37,14,48,58,24,29,49,47,42,37,67,31,26,21,32,51,12,50,0,60,59,51,15,27,35,52,32,43,48,57,9,31,29,48,60,64,32,26,53,47,19,31,43,22
15,47,36,57,41,85,24,51,2,34,5,7,25,36,19,38,9,42,3,6,24,30,46,24,16,33,14,120,41,32,6,35,38,31,50,9,10,44,46,51,24,59,46,26,72,36,27,44,46,52,39,74,69,33,54,43,24,14,72,66,69,42,50,8,45,75,10,1,69,25,1,9,35,25,10,50,61,16,3,34,10,19,84,50,44,59,35,50,5,17,61,26,59,21,19,76,92,21,59,21,26,53,20,68,65,41,49,42,19,36,25,31,14,57,26,13,59,47,6,24,8,62,25,36,0,15,104,29,63,29,19,42,47,58,23,12,32,20,57,39,4,47,56,32,17,34,45,36,8,0,6,22,68,40,26,17,49,22,28,48,33,35,48,52,52,19,48,54,45,8,16,38,37,47,1,33,34,39,31,55,26,41,27,39,44,9,27,8,52,56,48,41,10,6,46,49,6,31,21,59,29,33,13,58,2,26,49,31,32,25,27,28,26,1,42,30,8,28,8,46,65,27,27,47,41,44,37,73,38,44,22,31,61,6,59,7,47,69,51,19,33,48,48,43,26,30,48,11,30,33,43,50,51,43,18,40,54,21,41,40,10
16,40,19,68,32,72,22,66,0,40,1,5,35,48,19,41,8,35,2,10,31,23,48,24,20,34,13,86,53,35,3,31,27,26,49,16,17,64,38,39,23,71,64,21,64,40,25,32,49,43,44,73,73,41,37,41,31,12,62,47,92,33,37,8,49,62,4,0,61,26,2,3,29,35,5,69,74,21,4,43,12,19,75,67,77,69,28,51,3,21,56,31,46,23,22,63,58,18,61,31,18,51,8,87,72,51,75,41,22,46,32,34,19,52,21,16,60,49,1,21,2,63,19,39,0,28,115,42,56,28,32,55,55,65,21,24,36,18,61,46,5,65,81,20,24,27,47,42,9,0,6,18,55,46,25,14,47,17,26,55,40,45,50,56,64,22,53,58,50,21,5,38,49,48,2,24,42,38,35,59,29,39,26,28,48,3,28,0,40,68,59,31,13,4,50,49,1,32,23,70,24,34,12,56,0,27,53,33,38,25,27,23,23,1,48,22,2,33,6,43,55,30,36,41,72,39,44,82,36,45,24,28,59,11,68,21,66,68,46,9,36,32,53,28,19,17,43,14,37,35,46,56,54,39,21,51,53,29,32,37,12
17,39,46,69,49,72,20,56,1,43,10,10,29,40,17,46,10,30,2,5,21,27,33,31,12,29,7,92,43,28,19,38,43,30,42,25,22,62,38,45,24,70,66,26,61,44,22,28,50,58,45,75,81,32,28,26,26,21,63,48,65,31,36,7,42,63,20,1,53,20,1,4,40,21,5,66,78,27,0,34,11,18,89,58,57,58,19,57,1,21,69,30,48,23,20,59,52,17,61,27,12,58,10,70,69,39,66,36,21,50,40,43,12,57,17,16,53,55,9,20,10,72,19,34,0,45,106,30,46,34,37,45,59,57,22,10,31,18,48,42,6,62,66,30,22,22,54,41,5,0,7,21,76,37,24,16,39,23,41,45,50,34,53,61,89,49,49,53,24,28,11,43,54,49,1,22,44,46,35,71,30,45,27,28,64,15,19,19,52,65,63,44,10,3,60,48,2,28,27,37,39,24,9,57,1,21,40,41,33,28,24,27,20,3,50,19,2,26,12,45,57,23,49,57,62,39,49,69,37,34,36,35,67,10,57,6,64,75,45,15,47,34,48,34,35,42,53,26,28,40,48,74,68,46,19,44,56,24,25,45,8
18,40,33,62,27,105,12,38,1,33,22,4,35,48,15,46,10,32,2,5,14,12,40,30,15,36,16,91,34,41,11,44,20,30,23,8,9,69,27,41,28,65,57,18,51,32,28,34,55,51,35,77,55,41,54,25,26,14,47,52,54,34,61,5,37,71,3,0,46,18,0,3,41,18,2,65,77,19,0,45,12,15,52,44,42,49,16,52,4,23,56,22,67,16,17,70,42,19,57,33,14,45,12,81,83,26,58,31,29,56,27,24,12,38,16,16,48,40,1,12,3,58,11,37,0,42,47,27,25,27,34,46,47,51,27,8,39,18,51,17,4,65,51,14,21,36,58,41,3,0,3,26,67,43,16,12,47,9,28,40,23,40,61,48,88,37,40,55,41,37,17,49,12,23,1,35,35,46,28,51,38,25,38,23,46,11,17,41,40,53,45,49,5,5,41,40,4,25,27,59,21,25,8,39,2,26,42,44,29,23,33,34,20,1,50,16,1,30,5,52,51,29,47,34,46,47,49,59,27,6,30,29,51,10,50,9,68,72,33,13,53,34,45,21,27,44,41,53,41,39,48,42,56,34,17,18,61,18,25,61,20
19,32,20,57,31,46,18,27,1,21,18,2,18,50,4,38,12,21,1,3,12,5,9,21,28,29,7,58,31,36,2,24,25,22,21,14,23,49,18,39,21,38,46,19,36,22,25,25,32,33,37,55,33,31,22,8,21,8,56,41,51,23,38,5,20,55,2,0,39,15,1,0,27,10,1,39,60,5,0,33,17,16,57,60,30,51,20,54,0,15,40,25,72,13,12,66,30,12,44,17,10,37,11,61,55,20,33,28,22,41,13,18,9,36,14,6,29,33,0,7,0,52,2,42,0,24,19,21,3,22,24,34,52,36,14,11,25,16,31,7,0,48,46,9,16,24,41,26,2,0,3,15,39,25,11,15,28,23,31,31,1,25,29,29,59,27,41,37,28,19,8,22,0,13,0,17,23,39,17,40,25,9,31,14,50,5,21,36,39,39,33,29,5,0,28,37,3,15,16,42,20,15,3,51,2,17,29,30,14,25,30,10,16,2,37,13,1,18,4,44,19,13,30,23,23,42,31,30,12,13,14,23,37,3,35,5,40,68,32,7,18,23,43,12,17,23,26,41,23,28,33,28,32,30,12,12,56,18,15,46,14
