header
20
25
15
20
20
19
20
29
17
20
15
20
20
18
16
15
17
30
15
18
20
20
15
20
20
15
40
20
20
30
20
20
15
40
20
20
30
20
19
15
18
20
15
20
20
15
15
15
19
20
20
20
19
40
20
15
20
20
20
40
19
18
15
20
15
14
30
15
10
15
12
20
20
15
14
20
20
17
18
15
15
30
20
15
20
20
15
15
20
14
17
20
20
15
39
27
15
16
15
15
20
15
20
20
20
20
20
20
20
20
20
20
20
30
15
15
20
16
17
20
20
20
15
20
40
40
19
40
20
20
20
15
20
20
15
20
13
20
20
40
15
20
18
20
15
20
15
30
20
15
18
15
20
15
15
20
15
20
15
15
18
20
15
30
40
20
15
20
20
15
20
20
20
15
15
15
13
20
20
14
20
20
15
15
20
15
20
18
15
18
20
15
14
20
20
15
15
15
18
20
20
20
15
15
15
30
15
15
20
20
15
18
25
30
15
15
17
15
20
20
20
17
20
20
20
20
20
20
20
20
20
15
15
15
20
20
20
15
15
30
20
20
15
37
19
15
20
30
20
24
40
20
20
14
20
17
15
18
20
30
